source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
5f8bc073659e01ecbe2a9c5e68b7fcc4,,tree-preservation-order,,,,development-corporation:Q20648596,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
85b2a349d008e3b6a5582389ab7f7376,,tree-preservation-order,,,,development-corporation:Q4916714,tree-preservation-order;tree,2021-12-01T07:16:09Z,,1998-04-03
0c04d6fa345e793a3879640e41762b05,,tree-preservation-order,,,,development-corporation:Q6670544,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
4700cf823637f7de3199141d49f537e1,,tree-preservation-order,,,,development-corporation:Q6670837,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2013-02-28
6b50b932df952f27a67e755fd802b712,,tree-preservation-order,,,,development-corporation:Q72456968,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
df1295fecdce38a21f8e4f56e8c74d52,,tree-preservation-order,,,,development-corporation:Q72463795,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
1d585753e8ad9588bd1b2675fe12d107,,tree-preservation-order,,,,development-corporation:Q7799380,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2012-10-31
18054fcfa8d7a9892ace885745c82098,,tree-preservation-order,,,,development-corporation:Q7860503,tree-preservation-order;tree,2021-12-01T07:16:09Z,,1998-04-03
6ed117f24354aabbf08d4fdb0b0b9f66,,tree-preservation-order,,,,development-corporation:Q7986087,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2014-07-13
4ac698f8f95a3c491feefa6932808042,,tree-preservation-order,,,,local-authority-eng:ADU,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
587419887ac76712b2afb39612751bbb,,tree-preservation-order,,,,local-authority-eng:ALL,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
af4a961c79f11bc5cebd0d5ae7b22607,,tree-preservation-order,,,,local-authority-eng:AMB,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
f590cff7f4ff854feb883eda2e258c66,,tree-preservation-order,,,,local-authority-eng:ARU,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
61ab5aff8dc4910d9121f348e0559c18,,tree-preservation-order,,,,local-authority-eng:ASF,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
81fd5b35411d089f3d893779db9a5e8d,,tree-preservation-order,,,,local-authority-eng:ASH,tree-preservation-order;tree,2021-12-01T07:16:09Z,,
ee1ecedb61eca9abf83793e183d90e64,,tree-preservation-order,,,,local-authority-eng:AYL,tree-preservation-order;tree,2021-12-01T07:16:09Z,,2020-03-31
