resource,bytes,organisations,endpoints,start-date,end-date
20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,34852,local-authority-eng:SWK,b7c82241d5ad27c0f92cb464dca91aea2461802b345fe3e9df55e844f4dc477e,2021-12-02,
2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,20095,local-authority-eng:SWK,810751d8f4697034343d69ea0b5f365362089c9d2c083a63d6a3815b17b2a44b,2021-12-02,
565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,14290229,local-authority-eng:CAT,41fc6aaaf2059002dfe1401841e88a56278f580c6c425683f5fba935b339bdcd,2021-12-02,
8f35e0a7bbca0daeda982d6f39aac0afa7b0fae1bf9419c53a5d279f450ad7b3,1206055,local-authority-eng:LBH,f8d5163c023f27f599fee22535f5959e52f18313755fcb3243c78577985cda2d,2021-11-01,
b2a456b6735fb44e4ec7b86f1dd662802a3b123d29accc057149c24ebdbdfe09,411624,local-authority-eng:LBH,504c4c95f0386ed91bb3e2e4bbc801f6cc9a3e5d48ef5942e650de7bc90990e4,2021-12-02,
cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,145115,local-authority-eng:SWK,9303b2ab116396afad0e4b9f9c827ae2993fa8cc355398eb164e6b4081cfbc5c,2021-12-02,
f9c98a7bb2fe99b4fffb86a5d8f4d840119f6fa72c7b2876ed5dac7d78fa39bf,23511,local-authority-eng:SWK,b40560f8bae3605c599de6cdd59271c4b218c305134fd32586e20a681c183f74,2021-12-02,
