dataset,endpoint,resource,field,fields,separator,entry-date,start-date,end-date
tree-preservation-zone,,,tree-species-list,SPECIES_1_NAME;SPECIES_2_NAME;SPECIES_3_NAME;SPECIES_4_NAME;SPECIES_5_NAME;SPECIES_6_NAME,;,,,
tree-preservation-zone,,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,reference,TPO;TPO_Group,/,,,
tree-preservation-zone,,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,reference,TPO;TPO_Group,/,,,
tree-preservation-zone,,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,reference,TPO;TPO_Group,/,,,
tree-preservation-zone,,eb5dbbbc4aed2ec190375d15f06b772559d336b94ba776aa3ddd3c042efa34f8,reference,TPO;TPO_Group,/,,,
tree,,1409cd22efe9d2e0d74cfbfa5acfa9b11830dfec156336686c15ec3022854c9f,reference,REFVAL;LABEL,/,,,
tree,,1a16bb77160fc137cbac81f9b7ffb488cbb971cd38ddcc7c3f563f7aa6576a0a,reference,REFVAL;LABEL,/,,,
tree,,7b0e995fb1a873261616cef415b2b2843b6636e36c7758ea28e87feb3c79fcb2,reference,REFVAL;LABEL,/,,,
tree-preservation-zone,de1eb90a8b037292ef8ae14bfabd1184847ef99b7c6296bb6e75379e6c1f9572,,reference,REFVAL;LABEL,/,,,
