entity,tree-species,wikidata,name,latin-name,wikipedia
7100000,7100000,Q10884,Unknown,,Tree
7100001,7100001,Q152079,Ash,Fraxinus excelsior,Ash
7100002,7100002,Q147064,Black Poplar,Populus nigra,Black_Poplar
7100003,7100003,Q196,Cherry,Prunus,Cherry
7100004,7100004,Q146149,Common Beech,Fagus sylvatica,Common_Beech
7100005,7100005,Q147939,Common Laburnum,Laburnum anagyroides,Common_Laburnum
7100006,7100006,Q285314,Common Lime,Tilia Cordata,Common_Lime
7100007,7100007,Q104819,Crab Apple,Malus,Crab_Apple
7100008,7100008,Q45669,Eucalyptus,Eucalyptus,Eucalyptus
7100009,7100009,Q157417,False Acacia,Robinia pseudoacacia,False_Acacia
7100010,7100010,Q158785,Field Maple,Acer campestre,Field_Maple
7100011,7100011,Q104552567,Holm Oak,Quercus ilex,Holm_Oak
7100012,7100012,Q158752,Horse Chestnut,Aesculus hippocastanum,Horse_Chestnut
7100014,7100014,Q352803,Lime,Tilia,Lime
7100015,7100015,Q161374,London Plane,Acer plantanus,London_Plane
7100016,7100016,Q26745,Norway Maple,Acer platanoides,Norway_Maple
7100017,7100017,Q12004,Oak,Quercus,Oak
7100018,7100018,Q156895,Silver Birch,Betula pendula,Silver_Birch
7100019,7100019,Q3506777,Sycamore,Acer pseudoplatanus,Sycamore
7100020,7100020,Q49185077,White Ash,Franinus americana,White_Ash
7100021,7100021,Q7995670,White Poplar,Populus alba,White_Poplar
7100022,7100022,Q17038225,Yew,Taxus baccaata,Yew
7100023,7100023,Q12004,Common Oak,Quercus robur,Oak
7100024,7100024,Q638095,Algerian Oak,,Algerian_Oak
7100025,7100025,Q117085,Variegated Holly,,Holly
7100026,7100026,Q917216,Kashmir Cypres,,Cupressus_cashmeriana
7100027,7100027,Q9213445,Cedar,Cedrus,Cedar
7100028,7100028,Q7655643,Sweet Bay,Laurus nobilis,Sweet_Bay
7100029,7100029,Q36146,Fig,Ficus carica,Fig
7100030,7100030,Q269224,Japanese Maple,Acer japonicum,Japanese_Maple
7100031,7100031,Q146951,Purple Plum,Prunus cerasifera,Prunus_cerasifera
7100032,7100032,Q161166,Ash Leaved Maple,Acer negundo,Acer_negundo
7100033,7100033,Q158513,Hornbeam,Carpinus betulus,Hornbeam
7100034,7100034,Q36050,Willow,Salix,Willow
7100035,7100035,Q157230,Weymouth Pine,Pinus strbus,Weymouth_Pine
7100036,7100036,Q161360,Lawson's Cypress,Chamaecyparis lawsoniana,Lawson's_Cypress
7100037,7100037,Q157748,Pyracantha,,Pyracantha
7100038,7100038,Q158301,Silver Maple,Acer saccharinum,Silver_Maple
7100039,7100039,Q1935589,Cherry Laurel,Prunus laurocerasus,Cherry_Laurel
7100040,7100040,Q156907,Weeping Ash,Fraxinus excelsior,Fraxinus_excelsior
7100041,7100041,Q434,Pear,Pyrus,Pear
7100042,7100042,Q8000585,Wild Cherry,Prunus avium,Wild_Cherry
7100043,7100043,Q89,Apple,Malus,Apple
7100044,7100044,Q124969,Corylus avellana,,Corylus_avellana
7100045,7100045,Q1969110,Prunus lusitanica,,Prunus_lusitanica
7100046,7100046,Q163760,Tilia x europaea,,Tilia_x_europaea
7100047,7100047,Q149461,Ginkgo,Ginkgo biloba,Ginkgo
7100048,7100048,Q52387698,Evergreen Oak,,Evergreen_Oak
7100049,7100049,Q146149,Fern Leaved Beech,Fagus sylvatica 'Asplenifolia',Fagus_sylvatica
7100050,7100050,Q159570,Tree of Heaven,Ailanthus altissima,Tree_of_Heaven
